# NeoMOM Impedance Sweep
# 2026-07-06, T10:55:32
# title       : 40 m center fed dipole — impedance sweep
# file        : Center_fed_40m_dipole_Zin.nml
# ground      : FREE_SPACE
# nports      : 1
# nfreq       : 201
# fstart_MHz  : 6.5000
# fstop_MHz   : 8.5000
# fstep_MHz   : .0100
# z0_ref_Ohm  : 50.0
#
# freq_MHz    Rin_Ohm    Xin_Ohm    Zin_Ohm    Gin_S      Bin_S      Yin_S      SWR
   7.08000       66.5544      -39.0422       77.1608      0.111785E-01  0.655755E-02  0.129600E-01   2.05342    
   7.09000       66.8430      -36.8396       76.3226      0.114749E-01  0.632425E-02  0.131023E-01   1.98792    
   7.10000       67.1328      -34.6347       75.5406      0.117645E-01  0.606947E-02  0.132379E-01   1.92546    
   7.11000       67.4240      -32.4320       74.8187      0.120447E-01  0.579366E-02  0.133656E-01   1.86622    
   7.12000       67.7161      -30.2285       74.1568      0.123137E-01  0.549685E-02  0.134849E-01   1.81013    
   7.13000       68.0097      -28.0285       73.5589      0.125690E-01  0.517999E-02  0.135946E-01   1.75738    
   7.14000       68.3044      -25.8252       73.0235      0.128092E-01  0.484304E-02  0.136942E-01   1.70786    
   7.15000       68.6006      -23.6215       72.5535      0.130320E-01  0.448736E-02  0.137829E-01   1.66178    
   7.16000       68.8977      -21.4206       72.1508      0.132350E-01  0.411482E-02  0.138599E-01   1.61932    
   7.17000       69.1964      -19.2155       71.8149      0.134170E-01  0.372583E-02  0.139247E-01   1.58053    
   7.18000       69.4960      -17.0153       71.5487      0.135755E-01  0.332381E-02  0.139765E-01   1.54578    
   7.19000       69.7978      -14.8086       71.3515      0.137100E-01  0.290876E-02  0.140151E-01   1.51515    
   7.20000       70.0996      -12.6083       71.2245      0.138184E-01  0.248542E-02  0.140401E-01   1.48905    
   7.21000       70.4035      -10.4044       71.1681      0.139003E-01  0.205422E-02  0.140512E-01   1.46765    
   7.22000       70.7085      -8.20256       71.1827      0.139548E-01  0.161883E-02  0.140484E-01   1.45129    
   7.23000       71.0150      -6.00217       71.2682      0.139817E-01  0.118173E-02  0.140315E-01   1.44015    
   7.24000       71.3225      -3.79617       71.4235      0.139812E-01  0.744155E-03  0.140010E-01   1.43435    
   7.25000       71.6314      -1.59684       71.6492      0.139534E-01  0.311055E-03  0.139569E-01   1.43402    
   7.26000       71.9417      0.606231       71.9443      0.138991E-01 -0.117124E-03  0.138996E-01   1.43903    
   7.27000       72.2532       2.81045       72.3079      0.138193E-01 -0.537533E-03  0.138298E-01   1.44925    
   7.28000       72.5664       5.01161       72.7393      0.137151E-01 -0.947195E-03  0.137477E-01   1.46440    
   7.29000       72.8805       7.21517       73.2368      0.135879E-01 -0.134521E-02  0.136543E-01   1.48418    
   7.30000       73.1964       9.42315       73.8005      0.134391E-01 -0.173013E-02  0.135500E-01   1.50828    
   7.31000       73.5138       11.6281       74.4277      0.132709E-01 -0.209913E-02  0.134359E-01   1.53628    
   7.32000       73.8320       13.8279       75.1157      0.130853E-01 -0.245072E-02  0.133128E-01   1.56782    
   7.33000       74.1520       16.0353       75.8660      0.128833E-01 -0.278602E-02  0.131811E-01   1.60276    
   7.34000       74.4729       18.2380       76.6736      0.126680E-01 -0.310232E-02  0.130423E-01   1.64066    
   7.35000       74.7957       20.4444       77.5394      0.124403E-01 -0.340039E-02  0.128967E-01   1.68143    
   7.36000       75.1195       22.6483       78.4594      0.122029E-01 -0.367913E-02  0.127454E-01   1.72478    
   7.37000       75.4450       24.8508       79.4324      0.119573E-01 -0.393863E-02  0.125893E-01   1.77055    
   7.38000       75.7720       27.0625       80.4598      0.117045E-01 -0.418032E-02  0.124286E-01   1.81882    
   7.39000       76.1003       29.2670       81.5342      0.114474E-01 -0.440250E-02  0.122648E-01   1.86914    
   7.40000       76.4300       31.4754       82.6574      0.111867E-01 -0.460689E-02  0.120981E-01   1.92165    
   7.41000       76.7611       33.6836       83.8263      0.109240E-01 -0.479355E-02  0.119294E-01   1.97618    
   7.42000       77.0936       35.8878       85.0373      0.106610E-01 -0.496280E-02  0.117595E-01   2.03257    
   7.43000       77.4279       38.0986       86.2935      0.103978E-01 -0.511625E-02  0.115884E-01   2.09101    
   7.44000       77.7633       40.3075       87.5890      0.101362E-01 -0.525397E-02  0.114170E-01   2.15126    
   7.45000       78.1003       42.5174       88.9235      0.987688E-02 -0.537692E-02  0.112456E-01   2.21332    
   7.46000       78.4391       44.7260       90.2946      0.962076E-02 -0.548577E-02  0.110749E-01   2.27713    
   7.47000       78.7787       46.9356       91.7008      0.936834E-02 -0.558157E-02  0.109050E-01   2.34268    
   7.48000       79.1205       49.1488       93.1432      0.911983E-02 -0.566513E-02  0.107362E-01   2.41004    
   7.49000       79.4635       51.3580       94.6155      0.887653E-02 -0.573698E-02  0.105691E-01   2.47896    
   7.50000       79.8079       53.5741       96.1222      0.863770E-02 -0.579839E-02  0.104034E-01   2.54974    
